Company;Company URL;HQ Location;Country;Founded;Estimated Headcount;Known Customers;Strengths;Weaknesses;Discipline;Lifecycle Phase;Workflow Segment;Subsegment;Sector Focus;Category/Function Tags;Operating Model Tags;Differentiation Tags;Manufacturing Type;Industries Served;Investment List;Subcategories;Company Group;Latest Funding Round;Startup Lifecycle Phase;Lastest Funding Event Year;Latest Event Funding Amount;Total Current Known Funding Level;Current Estimated Annual Revenue;Estimated Market Value;Financials Notes;Investors and VCs;Market Opportunity;Market Opportunity Justification;Team & Execution;Team & Execution Justification;Technology Differentiation;Technology Differentiation Justification;Funding Efficiency;Funding Efficiency Justification;Growth Metrics;Growth Metrics Justification;Industry Impact;Industry Impact Justification;Competitive Moat;Competitive Moat Justification
Revise Robotics;https://www.reviserobotics.com;New York, United States;United States 🇺🇸;2024;10;N A;YC W25 backed electronics refurbishment robotics with $330K early revenue on 3-person team;Very early stage - narrow focus on electronics recycling may limit scalability;Circular Manufacturing;End of Life;Refurbishment Automation;Electronics Recycling Robotics;Electronics Recycling;Electronics Refurbishment, Robotics, Circular Economy;RaaS;Modular Inspection and Refurbishment Systems for Mixed Device Batches;N A;Electronics, Consumer Devices, IT Asset Disposition;09-SW+HW=Innovation (Robotics, Drones);Electronics Refurbishment Robotics, Circular Economy Automation;Robotics;Seed;Seed;2025;3620000;4130000;330000;12390000;$3.62M raised Feb 2025 plus $500K seed Jan 2025;Y Combinator, Keybridge Venture Partners, MyAsiaVC, Neotribe Ventures, Syntax Ventures, UpHonest Capital;3.5;Growing e-waste market and demand for circular economy solutions;3.0;Small team with YC backing and early revenue traction;3.5;Modular robotic systems for mixed-batch electronics refurbishment;3.5;$330K revenue with only $4.1M raised - strong early efficiency;3.0;Early revenue traction at $330K;3.0;Addressing growing e-waste and sustainability regulations;2.5;Narrow niche - refurbishment robotics is novel but unproven at scale
Saildrone;https://www.saildrone.com;Alameda, United States;United States 🇺🇸;2012;300;US Navy, Danish Armed Forces, NOAA;Pioneer in autonomous ocean data collection with wind/solar-powered USVs and $345M+ raised with defense/commercial traction;Capital intensive hardware business with long development cycles and defense dependency;Ocean Intelligence;Operations;Maritime Autonomy;Autonomous Surface Vehicles;Defense, Maritime;Autonomous USV, Ocean Intelligence, Maritime Surveillance;Mission-as-a-Service;Wind/Solar Powered Autonomous Vehicles, Months-Long Endurance;N A;Defense, Maritime Security, Climate Science, Fisheries, Energy;09-SW+HW=Innovation (Robotics, Drones);Autonomous Maritime Vehicles, Ocean Data Collection;Hardware + SaaS;Series C+;Late Stage;2025;60000000;345000000;16000000;112000000;$60M round May 2025 led by EIFO plus $50M Lockheed Martin strategic investment Oct 2025;EIFO, Lux Capital, Lockheed Martin, Horizons Ventures, Tribe Capital, Social Capital, Crowley, Washington Harbor Partners;4.0;Growing defense and maritime autonomy markets globally;4.5;Founder Richard Jenkins with world land speed record - deep ocean domain expertise;4.5;Proprietary wind/solar USVs with months-long autonomous endurance;2.5;$345M raised with $16M estimated revenue - capital intensive;3.5;Active contracts with US Navy and Danish Armed Forces;4.5;Defining the autonomous maritime intelligence category;4.0;Strong IP in autonomous ocean vehicles with defense partnerships
Santinela;https://www.santinela.com;Bucharest, Romania;Romania 🇷🇴;2015;15;N A;Integrated lean manufacturing/TPM platform for factories with OEE, CMMS, ticketing and quality modules;Bootstrapped with limited market presence outside Eastern Europe;Manufacturing Engineering;Production & Operations;Production Monitoring;OEE & Lean Manufacturing Software;Discrete Manufacturing;OEE Software, CMMS, Lean Manufacturing, TPM;SaaS, Platform;Integrated Factory Management on Lean/TPM Principles;Discrete Manufacturing;Manufacturing, Industrial;04-Factory Futures (MES, IIOT);OEE Software, CMMS, Factory Management Platform;Industrial Software;Bootstrapped;Seed;N A;N A;0;N A;0;No known external venture funding - likely bootstrapped;N A;2.5;OEE market is growing but highly competitive;2.0;Small team in Bucharest with limited global reach;2.5;Solid lean manufacturing platform but not differentiated by AI;2.0;No known VC funding - bootstrapped operation;2.0;Limited traction data available;2.0;Niche OEE/lean tool competing against established vendors;1.5;Low barriers to entry in OEE software space
Sculpt;https://www.sculpt.dev;San Francisco, United States;United States 🇺🇸;2022;5;N A;YC S2022 AI-powered should-cost analysis converting manufacturing drawings to quotations in minutes;Very small team with limited public traction data;Manufacturing Engineering;Design & Engineering;Cost Estimation;AI Should-Cost Analysis;Precision Manufacturing;AI Quoting, Should-Cost Analysis, Manufacturing Drawing Interpretation;SaaS;AI-Automated Drawing-to-Quote Conversion;Discrete Manufacturing;Precision Manufacturing, CNC Machining, Metal Fabrication;03-Adaptive Manufacturing (AM, CAM);AI-Powered Manufacturing Quotation, Should-Cost Analysis;Enterprise Software;Pre-Seed;Seed;2022;500000;500000;N A;1500000;YC S2022 standard investment - no additional rounds disclosed;Y Combinator;3.5;Large pain point - manufacturers spend weeks on manual quoting;2.5;Small team with YC backing;3.5;AI interpretation of manufacturing drawings for automated costing;2.5;Minimal funding - relying on YC investment only;2.0;Limited public traction data;3.0;Addresses major bottleneck in precision manufacturing workflow;2.5;Competes with Paperless Parts and other quoting platforms
Sensei;https://senseirobotics.com;San Francisco, United States;United States 🇺🇸;2024;5;N A;YC-backed hardware platform for collecting robotics training data at 1/10th cost and 2x speed of teleoperation;Extremely early stage with only $500K seed and small team;Robotics;Development & Training;Data Collection;Robotics Training Data Platform;Robotics;Robotics Data Collection, Teleoperation, Exoskeleton Hardware;Platform;Low-Cost Sensorized Exoskeleton for Robot Training Data at Scale;N A;Robotics, Warehouse Automation, Manufacturing Automation;09-SW+HW=Innovation (Robotics, Drones);Robotics Training Data Platform, Teleoperation Hardware;Hardware + SaaS;Seed;Pre-Seed;2024;500000;500000;0;1500000;$500K YC seed investment 2024;Y Combinator, Calibrate Ventures, Lotus Venture Partners, Network VC;3.5;Critical robotics data scarcity problem across the industry;3.0;MIT robotics PhD and Aurora RL lead as founders;3.5;Proprietary sub-$300 sensorized exoskeleton for robot training data;2.0;Very early with minimal funding;1.5;Pre-revenue;3.5;Enabling faster robotics AI development through training data;2.5;Scale AI for robotics concept is compelling but early
Servo7;https://servo7.com;Amsterdam, Netherlands;Netherlands 🇳🇱;2024;5;N A;Adaptable AI robots for assembly and logistics that learn on the job without facility redesign;Extremely early stage with only $500K seed funding;Manufacturing Engineering;Production & Operations;Assembly Automation;Adaptive Manufacturing Robots;Discrete Manufacturing;Adaptive Robotics, Assembly Automation, Logistics Robots;RaaS;Learn-On-The-Job AI Robots Requiring No Facility Redesign;Discrete Manufacturing;Manufacturing, Assembly, Logistics;09-SW+HW=Innovation (Robotics, Drones);Adaptive Assembly Robots, AI-Powered Manufacturing Robotics;Robotics;Seed;Pre-Seed;2026;500000;500000;0;1500000;$500K seed round Jan 2026;N A;3.5;Large market for flexible manufacturing automation;2.5;Team from autonomous drones, hyperloop, aerospace, and LLM backgrounds;3.0;Adaptive robots that learn and integrate without facility changes;2.0;Minimal funding at earliest stage;1.5;Pre-revenue startup;3.0;Addressing need for flexible factory automation;2.0;Very early - no proven technology differentiation yet
Seurat Technologies;https://www.seurat.com;Wilmington, United States;United States 🇺🇸;2015;150;Honda, Porsche, General Motors, Denso, Xerox;Breakthrough Area Printing technology for high-volume metal 3D printing with $750M+ in LOIs from 6 customers;Capital intensive with long path to profitability - technology still scaling to full production volumes;Additive Manufacturing;Production & Operations;Metal 3D Printing;Area Printing for High-Volume Metal Production;Metal Manufacturing;Metal Additive Manufacturing, Area Printing, Decarbonized Production;Contract Manufacturing;Proprietary Area Printing enabling industrial-scale metal AM at cost parity with conventional methods;Discrete Manufacturing;Automotive, Aerospace, Defense, Medical Devices, Energy, Semiconductor Equipment;03-Adaptive Manufacturing (AM, CAM);Metal Additive Manufacturing, Area Printing, Industrial-Scale 3D Printing;Hardware + Services;Series C;Growth;2023;99000000;191000000;N A;573000000;$99M Series C co-led by NVentures (NVIDIA) and Capricorn Technology Impact Fund;NVentures (NVIDIA), Capricorn Investment Group, True Ventures, SIP Global Partners, Porsche, Denso, GM Ventures, Honda Motor, Cubit Capital, Xerox Ventures, Maniv Mobility;4.5;Massive TAM in metal manufacturing with decarbonization tailwinds;4.0;Strong technical team with deep additive manufacturing expertise;5.0;Proprietary Area Printing tech with no direct equivalent - breakthrough approach;3.0;$191M raised pre-revenue but $750M in LOIs from major OEMs;3.5;$750M in letters of intent from 6 customers across 4000 tons;4.5;Potential to disrupt conventional metal manufacturing at scale;4.5;Proprietary Area Printing technology with strong patent portfolio and no direct competitors
ShipReality;https://www.shipreality.com;Athens, Greece;Greece 🇬🇷;2018;8;Group Navale, Horizon Maritime, Rina, Mcgroup, ABS;Spatial computing and AI platform for maritime sustainability with generative 3D CAD for ship retrofits;Very small team with limited funding and narrow maritime niche;Maritime Engineering;Design & Operations;Digital Twin;Maritime Spatial Computing & Sustainability;Maritime;Spatial Computing, Generative 3D CAD, Digital Twin, Maritime Decarbonization;SaaS, Platform;Industrial Metaverse for Maritime with XR-Enabled Ship Retrofits;N A;Maritime, Shipping, Naval Architecture;05-Cognitive Thread (PLM, MBSE, DT);Maritime Digital Twin, Ship Retrofit CAD, XR Remote Operations;Enterprise Software;Accelerator;Pre-Seed;2020;N A;500000;N A;1500000;Katapult Ocean accelerator 2019 plus CDL-Atlantic 2020 plus EU Horizon Europe grant;Creative Destruction Lab, Katapult Ocean, European Union Horizon Europe;2.5;Maritime decarbonization is growing but niche market;2.5;Small team with accelerator backing;3.0;Unique maritime spatial computing platform with XR visualization;2.0;Minimal known VC funding - reliant on grants and accelerators;2.0;Limited traction with handful of maritime customers;2.5;Addresses IMO decarbonization mandates for shipping industry;2.0;Narrow niche with limited scale
Slip Robotics;https://www.sliprobotics.com;Atlanta, United States;United States 🇺🇸;2020;76;John Deere, GE Appliances, Valeo, Nissan;SlipBots load/unload any truck in 5 minutes vs 30-60 min conventionally with zero infrastructure modification needed;Hardware robotics in logistics is capital intensive with long sales cycles;Logistics;Operations;Dock Automation;Truck Loading/Unloading Robots;Logistics;Autonomous Truck Loading, Dock Robotics, Logistics Automation;RaaS;Zero-Infrastructure Modification Robot Loading in 5 Minutes for Any Freight Type;N A;Automotive, Industrial, Consumer Goods, Logistics;09-SW+HW=Innovation (Robotics, Drones);Autonomous Truck Loading Robots, Dock Automation;Hardware + RaaS;Series B;Growth;2024;28000000;45000000;N A;135000000;$28M Series B Dec 2024 led by DCVC;DCVC, Eve Atlas, Tech Square Ventures, Hyde Park Venture Partners, Overline, Pathbreaker Ventures, Northwood Ventures;4.0;Massive logistics automation opportunity - every warehouse has loading docks;4.0;Strong co-founding team with rapid customer acquisition;4.0;Zero-infrastructure SlipBots handling any freight type in 5 minutes;3.5;$45M raised with blue-chip customers like John Deere and GE Appliances;4.0;Multiple Fortune 500 customers actively deploying;4.0;Transforming truck loading from 60-min manual to 5-min automated;3.5;Hardware differentiation with no-infrastructure-change deployment model
SprayVision;https://www.sprayvision.com;Ostrava, Czech Republic;Czech Republic 🇨🇿;2019;15;Audi, Porsche, Stellantis, Honda, Renault, Volkswagen, Plastic Omnium, Magna, BASF, Carlisle;98%+ spray pattern prediction accuracy with 100+ customers across 20+ countries including major OEMs;Small team with limited funding - narrow focus on coating processes;Manufacturing Engineering;Production & Operations;Process Control;Spray Pattern Digitalization & Coating Optimization;Automotive Manufacturing;Spray Pattern Digitalization, Coating Process Control, Simulation;SaaS, Hardware;98% Prediction Accuracy for Industrial Coating with Digital Spray Simulation;Discrete Manufacturing;Automotive, Automotive Supply Chain, Industrial Coating;04-Factory Futures (MES, IIOT);Spray Coating Process Optimization, Digital Simulation;Industrial Software;Series A;Seed;2024;2000000;2000000;N A;6000000;EUR 2M Series A led by Momenta Ventures with J&T Ventures;Momenta Ventures, J&T Ventures;3.0;Industrial coating is a large but niche market segment;3.0;Technical founders with deep coating process expertise;4.0;98%+ simulation accuracy for spray patterns - strong IP;3.5;100+ customers on EUR 2M funding - excellent capital efficiency;3.5;100+ customers in 20+ countries including major automotive OEMs;3.0;Digitizing an analog process in automotive coating lines;3.0;Deep niche expertise but narrow market focus
Superluminal;https://www.superluminal.tech;San Diego, United States;United States 🇺🇸;2018;10;N A;Cross-domain product development expertise spanning IoT, VR, Medtech and Robotics with startup speed;Services company model limits scalability and recurring revenue;Product Engineering;Design & Engineering;Product Development;Hardware-Software Product Engineering Services;Cross-Industry;Product Development, IoT, VR, Medtech, Robotics, Engineering Services;Services, Consulting;Cross-Industry Hardware+Software Product Development at Startup Speed;N A;IoT, Virtual Reality, Medtech, Robotics;09-SW+HW=Innovation (Robotics, Drones);Product Engineering Services, HW+SW Development;Services;Seed;Seed;2021;300000;300000;N A;N A;$300K raised from Calm Ventures and Pioneer.app;Calm Ventures, Pioneer.app;2.5;Engineering services market is large but fragmented;2.5;Cross-domain product development expertise;2.0;Services model - no proprietary technology platform;1.5;$300K raised - minimal external investment;2.0;Limited public traction data;2.0;Services firm without product-market scalability;1.5;No technology moat - competes on talent and execution
Symbio Robotics;https://www.symb.ai;Emeryville, CA, United States;United States 🇺🇸;2014;50;Toyota, Nissan;AI-powered real-time industrial robot control proven automotive OEMs $56M raised;Permanently closed ceased operations;Robotics;Production;Assembly & Integration;AI-Driven Robot Programming;Automotive Assembly Automation;AI Robotics, Robot Programming, Assembly Automation;B2B, SaaS, On-Premise, Vertical;Real-time AI Robot Control, Adaptive Assembly;Discrete Manufacturing;Automotive;09-SW+HW=Innovation (Robotics, Drones);AI Robot Programming;Startup Raisers;Series B;Shutdown;2021;30000000;56000000;0;0;Company permanently closed. Was valued ~$150M at Series B peak.;Andreessen Horowitz, Eclipse Ventures, ACME Capital, The House Fund, Gaingels;3.5;Strong automotive assembly market but company shut down;3.0;Proven team with Toyota/Nissan deployments but failed to sustain;4.0;Proprietary AI for real-time robot adaptation was technically strong;2.0;Burned through $56M without reaching sustainability;1.0;Company ceased operations;3.5;Deployed at major automotive OEMs reducing assembly errors;2.5;Technology was differentiated but not enough to survive
Teleo;https://www.teleo.co;Palo Alto, CA, United States;United States 🇺🇸;2019;43;N A;Supervised autonomy retrofit for existing heavy equipment multi-industry expansion strong repeat orders;Early revenue narrow construction focus scaling to new verticals;Robotics;Operations;Remote Operations & Autonomy;Supervised Autonomous Heavy Equipment;Construction Autonomy, Remote Equipment Control;Retrofit, B2B, Hardware+Software, Subscription;Supervised Autonomy Retrofit, Multi-Machine Remote Control;Discrete Manufacturing;N A;Construction, Mining, Logging, Agriculture, Port Logistics;09-SW+HW=Innovation (Robotics, Drones);Autonomous Heavy Equipment;Startup Raisers;Series A Extension;Growth Stage;2024;9200000;29800000;3000000;21000000;Series A extended in two tranches ($9.2M Apr 2024 + $7M Nov 2024). Revenue estimated from customer traction.;UP.Partners, F-Prime Capital, Hitachi Construction Machinery, Trousdale Ventures, Triatomic Capital, Y Combinator;4.2;Massive TAM in construction/mining autonomy labor shortage driver;4.0;Former Waymo/Tesla engineers strong customer pipeline 34+ machine orders;4.0;Retrofit approach avoids fleet replacement enables rapid adoption;3.8;$30M raised with real deployments and multi-industry expansion;3.5;9 new customers across 5 industries in latest expansion;3.8;Addresses critical labor shortage in heavy equipment operation;3.5;Retrofit model creates switching costs but competitors emerging
Tensr;https://tensr.com/;San Francisco, CA, United States;United States 🇺🇸;2025;3;N A;UC Berkeley robotics PhDs DARPA-funded IndyCar autonomous racing winners YC-backed;Pre-revenue very early stage 3-person team unproven factory model;Robotics;Production;Autonomous Manufacturing;Fully Autonomous Robotic Factories;AI Manufacturing, Autonomous Factory, Robotic CNC;B2B, Hardware+Software, On-Demand Manufacturing;Fully Autonomous Factory Stations, AWS-for-Manufacturing Model;Discrete Manufacturing;N A;Cross-Industry Manufacturing;03-Adaptive Manufacturing (AM, CAM);Autonomous Robotic Factories;Startup Raisers;Pre-Seed;Pre-Seed Stage;2025;500000;500000;0;1500000;YC F25 batch. $500K standard YC investment. Very early.;Y Combinator;4.5;On-demand autonomous manufacturing addresses massive market gap;3.0;Strong technical pedigree but extremely early team of 3;4.2;Novel approach of purpose-built autonomous factory stations;2.0;Minimal funding very early stage;1.5;Pre-revenue just launched from YC;3.5;Could reshape contract manufacturing if scalable;2.0;Concept stage no proven moat yet
The Robot Learning Company;https://robot-learning.co;San Francisco, CA, United States;United States 🇺🇸;2024;5;N A;Affordable general-purpose robot platform imitation learning few-shot adaptation open-source dev kit;Very early minimal funding narrow task scope;Robotics;Operations;Task Automation;Affordable AI Robot Platform;AI Robotics, Imitation Learning, Robot Dev Kit;B2B, Hardware+Software, Open-Source, Developer Platform;Few-Shot Robot Learning, Open-Source Dev Kit;Discrete Manufacturing;N A;Cross-Industry;09-SW+HW=Innovation (Robotics, Drones);AI Robot Learning Platform;Startup Raisers;Pre-Seed;Pre-Seed Stage;2024;500000;500000;0;1500000;YC-backed. $500K raised. Very early stage.;Y Combinator, 468 Capital, Munich Innovation Ecosystem;3.8;Large market for affordable automation of repetitive tasks;3.0;Berkeley/TU Munich robotics research background;3.8;Imitation learning from few demos is technically differentiated;2.0;Minimal funding bootstrapping phase;1.5;Pre-revenue open-source dev kit stage;3.0;Could democratize robot programming for SMEs;2.0;Open-source approach limits proprietary moat
Thread;https://www.threadai.com;New York, NY, United States;United States 🇺🇸;2023;19;Fortune 500 companies (undisclosed);Founded by ex-Palantir AI leads composable AI workflow platform $20M Series A strong enterprise traction;Not manufacturing-specific broad horizontal AI play;Software;Design;Workflow Automation;Composable AI Workflow Platform;AI Workflow Automation, Enterprise AI, Composable Infrastructure;B2B, SaaS, Cloud, Enterprise, Platform;Ex-Palantir Founders, Composable AI Infrastructure;Discrete Manufacturing;N A;Agriculture, Manufacturing, Hospitality, Financial Services;05-Cognitive Thread (PLM, MBSE, DT);AI Workflow Orchestration;Startup Raisers;Series A;Growth Stage;2025;20000000;20000000;5000000;35000000;$20M Series A led by Greycroft (June 2025). Revenue estimated from enterprise deals.;Greycroft, Index Ventures, Scale Venture Partners, Meritech Capital, Homebrew, Plug and Play;4.0;Enterprise AI workflow orchestration growing rapidly;4.5;Ex-Palantir founders with deep enterprise AI experience;3.8;Composable architecture differentiates from rigid workflow tools;3.5;$20M raised with Fortune 500 customers;3.5;Multiple enterprise customers across verticals;3.5;Enables faster AI adoption across enterprises;3.0;Composable approach is replicable by larger platforms
Tiny;https://www.tiny.dev;San Francisco, CA, United States;United States 🇺🇸;2024;5;Factories in Indonesia Vietnam and India (undisclosed);AI-native ERP for factories replaces Excel for 4M+ factories compound startup approach real-time collaboration;Pre-revenue very early unproven in enterprise factory ERP;Software;Production;Factory Management;AI-Native Factory ERP;AI ERP, Factory Management, Manufacturing Software;B2B, SaaS, Cloud, Product-led Growth;AI Agents for Factory Workflows, Real-Time Object Graph;Discrete Manufacturing;N A;Automotive, Electronics;04-Factory Futures (MES, IIOT);AI Factory ERP;Startup Raisers;Pre-Seed;Pre-Seed Stage;2024;500000;500000;0;1500000;YC F24 batch. Standard $500K YC investment assumed.;Y Combinator;4.5;Enormous TAM of 4M+ factories still on Excel;3.5;Ex-Addepar/Zenefits/Apple founders strong product background;3.5;AI agents on collaborative object graph is novel for factory ERP;2.5;Very early minimal funding;2.0;Early pilot customers in Asia;4.0;Could modernize millions of underserved factories;2.0;ERP space is competitive even with AI differentiation
TVARIT;https://tvarit.com;Frankfurt, Germany;Germany 🇩🇪;2019;50;Aditya Birla, Maxion Wheels, Kamax, Schunk Group, Gienanth, Endurance;Proven 50% scrap reduction 30% energy savings 55+ industrial projects deep metal manufacturing expertise;Niche metal-only focus limited funding relative to US competitors;Software;Production;Quality & Process Optimization;Industrial AI for Metal Manufacturing;Predictive Quality, Energy Optimization, Scrap Reduction;B2B, SaaS, On-Premise, Vertical;Prescriptive AI for Zero-Waste Metal Manufacturing;Process Manufacturing;N A;Steel, Aluminum, Automotive, Metal Casting;04-Factory Futures (MES, IIOT);Industrial AI Quality Analytics;Startup Raisers;Series A;Growth Stage;2023;5400000;8500000;3000000;21000000;€5M Series A (2023) + €2.8M Seed (2022). Total ~€7.8M (~$8.5M). Revenue est. from 55+ projects.;Momenta, Matterwave Ventures, Futury Capital, BMH;3.8;Metal manufacturing quality/energy optimization critical for net-zero;3.5;50+ employees across 8 countries 55 industrial deployments;3.5;TiA platform proven scrap and energy reduction;3.8;Lean operation with real customer traction on modest funding;3.5;55+ projects and global 8-country presence;3.8;Directly enables net-zero metal manufacturing;3.0;Domain-specific but replicable by larger industrial AI players
Verne Robotics;https://www.vernerobotics.com;San Francisco, CA, United States;United States 🇺🇸;2025;5;N A;YC-backed AI robotic arms learn tasks autonomously versatile manipulation capabilities;Very early pre-revenue minimal funding;Robotics;Operations;Pick and Place Automation;AI-Powered Autonomous Robotic Arms;AI Robotics, Dexterous Manipulation, Warehouse Automation;B2B, Hardware+Software, RaaS;Autonomous Task Learning for Robotic Arms;Discrete Manufacturing;N A;Logistics, Warehousing, Biotech, Food;09-SW+HW=Innovation (Robotics, Drones);AI Robotic Manipulation;Startup Raisers;Pre-Seed;Pre-Seed Stage;2025;500000;500000;0;1500000;$500K Pre-Seed from YC (Sep 2025). Very early stage.;Y Combinator, J20 Ventures;4.0;Large warehouse automation and manipulation market;2.5;Early team limited track record;3.5;Autonomous task learning for dexterous manipulation;2.0;Minimal funding;1.5;Pre-revenue;3.0;Could address skilled labor gaps in manipulation tasks;1.5;Very early no proven moat
Voxel Labs;https://www.voxelai.com;San Francisco, CA, United States;United States 🇺🇸;2020;125;Dick's Sporting Goods, Americold, Port of Virginia, Berry Global, AGI;147% YoY revenue growth 91% injury reduction 202% net revenue retention $61M raised Fortune 500 clients;Primarily safety-focused may face competition from broader computer vision platforms;Software;Operations;Workplace Safety & Monitoring;AI Computer Vision Workplace Safety Platform;Computer Vision, Workplace Safety, Real-Time Monitoring;B2B, SaaS, Cloud, Enterprise;Existing Camera Infrastructure Leverage, Real-Time Safety AI;Discrete Manufacturing;N A;Logistics, Retail, Warehousing, Manufacturing;06-Augmented Operations (MOM, MRO, AR/VR, SLM);AI Workplace Safety Analytics;Startup Raisers;Series B;Growth Stage;2025;44000000;61000000;15000000;105000000;$44M Series B (2025). 147% YoY revenue growth. Est. ~$15M ARR from growth metrics.;NewRoad Capital Partners, Eclipse Ventures, Rite-Hite, Tokio Marine, MTech, HG Ventures, Whitestone;4.5;Workplace safety is regulatory-driven massive TAM;4.2;Strong team 125 employees proven execution 5 Fortune 500 clients;4.0;Leverages existing camera infrastructure reducing deployment friction;4.0;$61M raised with 147% YoY revenue growth excellent efficiency;4.5;147% YoY revenue 202% net retention 5 new F500 in Q1 2025;4.5;91% injury reduction $2.2M savings per site proven ROI;4.0;Camera-infrastructure lock-in and proprietary CV models create barriers
VulcanForms;https://www.vulcanforms.com;Newburyport, MA, United States;United States 🇺🇸;2015;305;Medical device OEMs, Aerospace primes, Defense contractors (undisclosed);$575M raised MIT-founded 100kW laser breakthrough industrial-scale metal AM US manufacturing focus;Capital intensive long sales cycles concentrated in metal AM;Hardware;Production;Additive Manufacturing;Industrial-Scale Metal 3D Printing Digital Factory;Metal Additive Manufacturing, Digital Factory, Precision Parts;B2B, Contract Manufacturing, Hardware, Vertical;100kW Laser Metal AM, Fully Integrated Digital Factory;Discrete Manufacturing;N A;Aerospace, Defense, Medical Devices, Semiconductor, Consumer;03-Adaptive Manufacturing (AM, CAM);Industrial Metal 3D Printing;Startup Raisers;Series D;Late Stage;2026;220000000;575000000;30000000;210000000;$220M Series D (Jan 2026) led by Eclipse + 1789 Capital. Total $575M. Revenue est. from production contracts.;Eclipse Ventures, 1789 Capital, D1 Capital Partners, Fontinalis Partners, Atlas Innovate, Boston Seed Capital, Standard Investments;4.5;US reshoring + defense demand drives massive metal AM market;4.5;MIT-founded 305 employees production-scale operations;5.0;100kW laser system breakthrough enables industrial-scale metal AM;3.0;Capital intensive but demand exceeds capacity;3.5;Customer demand exceeds production capacity strong order book;4.5;Reshoring US manufacturing in critical defense/medical sectors;4.5;Proprietary 100kW laser tech + integrated factory extremely hard to replicate
Weave Robotics;https://www.weaverobots.com;San Francisco, CA, United States;United States 🇺🇸;2024;5;N A;YC-backed personal home robot first 30 units shipping fall 2025;Consumer robotics not industrial very early minimal funding;Robotics;Operations;Home Automation;Personal Home Robot;Consumer Robotics, Home Automation, AI Robot;B2C, Hardware+Software, Direct-to-Consumer;General-Purpose Home Robot Tidying and Laundry;N A;N A;Consumer;09-SW+HW=Innovation (Robotics, Drones);Personal Home Robots;Startup Raisers;Pre-Seed;Pre-Seed Stage;2024;500000;500000;0;1500000;$500K from YC + CoreNest. Consumer robotics very early.;Y Combinator, CoreNest;3.0;Home robot market large but extremely competitive;2.5;Small early team limited track record;3.0;General-purpose home robot ambitious but unproven;2.0;Minimal funding for hardware company;1.5;Pre-revenue first 30 units shipping;2.5;Consumer home robot market crowded;1.5;Very early no proven differentiation from competitors
Wilya (FKA Gig and Take);https://wilya.com;New York, NY, United States;United States 🇺🇸;2021;33;N A;400% commercial growth MODEX pitch winner skills operating system for manufacturing workforce;Niche workforce management limited funding relative to HR tech giants;Software;Operations;Workforce Management;AI Workforce Scheduling for Manufacturing;Workforce Management, Flex Labor, Skills Matching;B2B, SaaS, Cloud, Marketplace;Skills Operating System for Manufacturing Workforce;Discrete Manufacturing;N A;Manufacturing, Supply Chain, Logistics;06-Augmented Operations (MOM, MRO, AR/VR, SLM);Manufacturing Workforce Management;Startup Raisers;Seed;Seed Stage;2024;4000000;5500000;2000000;14000000;$4M Seed led by Ironspring (Jun 2024). Total $5.5M. 400% commercial growth.;Ironspring Ventures, Schematic Ventures, Plug and Play Ventures, Iron Prairie Ventures, Motivate Ventures, 25Madison, Techstars;4.0;Manufacturing labor shortage drives strong demand;3.5;400% growth MODEX winner experienced founding team;3.0;Skills OS approach is differentiated for manufacturing workforce;4.0;Strong growth on modest $5.5M funding;4.0;400% commercial growth year-over-year;3.8;Addresses critical manufacturing labor flexibility gap;2.5;Workforce management is competitive larger HR platforms could enter
Yondu;https://yondu.ai;San Francisco, CA, United States;United States 🇺🇸;2024;5;N A;MIT-founded YC-backed humanoid robots for 3PL warehouse picking flexible drop-in solution;Very early pre-revenue competing against well-funded warehouse robotics players;Robotics;Operations;Warehouse Picking Automation;Humanoid Robots for Warehouse Picking;Warehouse Robotics, Humanoid Robots, 3PL Automation;B2B, Hardware+Software, RaaS;Humanoid Drop-In Picking for 3PLs;Discrete Manufacturing;N A;Logistics, Warehousing, 3PL;09-SW+HW=Innovation (Robotics, Drones);Warehouse Humanoid Robots;Startup Raisers;Pre-Seed;Pre-Seed Stage;2024;500000;500000;0;1500000;$500K YC W24. MIT founders. Very early stage.;Y Combinator, Link Ventures, SBXi, XPV, Prod;3.8;Massive warehouse automation market 3PL segment underserved;3.0;MIT founders but very early 5-person team;3.5;Humanoid form factor for existing warehouse layouts is differentiated;2.0;Minimal funding for hardware robotics;1.5;Pre-revenue;3.0;Could reduce 3PL labor costs by 75% if proven;1.5;Very early many competitors in warehouse robotics
